year,acres,production
1960,180120,19006
1961,169730,21121
1962,163480,20877
1963,164410,20012
1964,164140,20527
1965,158610,20420
1966,158480,20326
1967,154230,20555
1968,149360,19446
1969,154000,19249
1970,156850,18234
1971,144120,17827
1972,151500,19925
1973,145130,19556
1974,129160,20081
1975,129140,21114
1976,131920,21772
1977,138770,19895
1978,135520,22408
1979,129510,23292
1980,131380,25393
1981,131310,25981
1982,124020,26769
1983,127200,27262
1984,127290,28163
1985,129400,29740
1986,130600,31361
1987,133250,32414
1988,144370,35889
1989,147810,35962
1990,142690,33800
1991,135440,33988
1992,136790,39033
1993,137990,36663
1994,138780,37387
1995,134610,34098
1996,124410,33634
1997,119090,32777
1998,125220,32906
1999,137890,37409
2000,129670,38890
2001,133500,37701
2002,131800,39588
2003,123300,35364
2004,132100,37948
2005,130200,38033
2006,125300,36274
2007,116400,33627
2008,109200,31137
2009,110200,32365