MUSHROOM-LENTIL FLATBREADS;;
Serving size(542g);;
Amount per serving;;
Calories830;;
% Daily Value*;;
Total Fat 35g;45 %;
;Saturated Fat 7g;35 %
;Trans Fat 0g;
Cholesterol 25mg;8 %;
Sodium 1270mg;55 %;
Total Carbohydrate 106mg;39 %;
;Dietary Fiber 6g;21 %
;Total Sugars 16g;
;Includes 3g Added Sugars;6 %
Protein 27g;;
Vitamin D 0mcg;0 %;
Calcium 392mg;30 %;
Iron 8mg;45 %;
Potassium 860mg;20 %;
BLACK-EYED PEA PATTIES;;
Serving size(692g);;
Amount per serving;;
Calories800;;
% Daily Value*;;
Total Fat 34g;44 %;
;Saturated Fat 3g;15 %
;Trans Fat 0g;
Cholesterol 0mg;0 %;
Sodium 930mg;40 %;
Total Carbohydrate 110mg;40 %;
;Dietary Fiber 20g;71 %
;Total Sugars 31g;
;Includes 15g Added Sugars;30 %
Protein 19g;;
Vitamin D 0mcg;0 %;
Calcium 222mg;15 %;
Iron 9mg;50 %;
Potassium 1440mg;30 %;
TOFU CAKES WITH KATSU SAUCE;;
Serving size(518g);;
Amount per serving;;
Calories690;;
% Daily Value*;;
Total Fat 22g;28 %;
;Saturated Fat 6g;30 %
;Trans Fat 0g;
Cholesterol 115mg;38 %;
Sodium 1000mg;43 %;
Total Carbohydrate 91g;33 %;
;Dietary Fiber 7g;25 %
;Total Sugars 14g;
;Includes 0g Added Sugars;0 %
Protein 32g;;
Vitamin D 1mcg;6 %;
Calcium 176mg;15 %;
Iron 7mg;40 %;
Potassium 520mg;10 %;
BLACK BEAN POSOLE WITH PESTO;;
Serving size(695g);;
Amount per serving;;
Calories730;;
% Daily Value*;;
Total Fat 20g;26 %;
;Saturated Fat 3g;15 %
;Trans Fat 0.5g;
Cholesterol 0mg;0 %;
Sodium 940mg;41 %;
Total Carbohydrate 118g;43 %;
;Dietary Fiber 25g;89 %
;Total Sugars 9g;
;Includes 1g Added Sugars;2 %
Protein 27g;;
Vitamin D 0mcg;0 %;
Calcium 396mg;30 %;
Iron 11mg;60 %;
Potassium 1086mg;25 %;
ASIAN RAMEN NOODLE SALAD;;
Serving size(478g);;
Amount per serving;;
Calories730;;
% Daily Value*;;
Total Fat 34g;44 %;
;Saturated Fat 6g;30 %
;Trans Fat 0g;
Cholesterol 115mg;38 %;
Sodium 470mg;20 %;
Total Carbohydrate 38g;14 %;
;Dietary Fiber 11g;39 %
;Total Sugars 13g;
;Includes 1g Added Sugars;2 %
Protein 26g;;
Vitamin D 1mcg;6 %;
Calcium 155mg;10 %;
Iron 4mg;20 %;
Potassium 1077mg;25 %;
PESTO PASTA PRIMAVERA;;
Serving size(518g);;
Amount per serving;;
Calories700;;
% Daily Value*;;
Total Fat 37g;47 %;
;Saturated Fat 7g;35 %
;Trans Fat 0g;
Cholesterol 135mg;45 %;
Sodium 450mg;20 %;
Total Carbohydrate 73g;27 %;
;Dietary Fiber 6g;21 %
;Total Sugars 11g;
;Includes 2g Added Sugars;4 %
Protein 24g;;
Vitamin D 1mcg;6 %;
Calcium 363mg;30 %;
Iron 5mg;20 %;
Potassium 799mg;15 %;
MEDITERRANEAN STUFFED ZUCCHINI;;
Serving size(565g);;
Amount per serving;;
Calories620;;
% Daily Value*;;
Total Fat 33g;42 %;
;Saturated Fat 6g;30 %
;Trans Fat 0g;
Cholesterol 20mg;7 %;
Sodium 480mg;21 %;
Total Carbohydrate 65g;24 %;
;Dietary Fiber 10g;36 %
;Total Sugars 18g;
;Includes 0g Added Sugars;0 %
Protein 18g;;
Vitamin D 0mcg;0 %;
Calcium 243mg;20 %;
Iron 5mg;30 %;
Potassium 1027mg;20 %;
SWEET POTATO & MUSHROOM TACOS;;
Serving size(478g);;
Amount per serving;;
Calories540;;
% Daily Value*;;
Total Fat 22g;28 %;
;Saturated Fat 9g;45 %
;Trans Fat 0g;
Cholesterol 45mg;15 %;
Sodium 1070mg;47 %;
Total Carbohydrate 66g;24 %;
;Dietary Fiber 8g;29 %
;Total Sugars 14g;
;Includes 1g Added Sugars;2 %
Protein 24g;;
Vitamin D 0mcg;0 %;
Calcium 441mg;35 %;
Iron 2mg;10 %;
Potassium 1166mg;25 %;
RED CURRY QUINOA WITH TEMPEH;;
Serving size(436g);;
Amount per serving;;
Calories730;;
% Daily Value*;;
Total Fat 32g;41 %;
;Saturated Fat 3.5g;18 %
;Trans Fat 0g;
Cholesterol 0mg;0 %;
Sodium 710mg;31 %;
Total Carbohydrate 78g;28 %;
;Dietary Fiber 11g;39 %
;Total Sugars 15g;
;Includes 0g Added Sugars;0 %
Protein 33g;;
Vitamin D 0mcg;0 %;
Calcium 223mg;15 %;
Iron 7mg;40 %;
Potassium 1161mg;25 %;
POLENTA WITH BALSAMIC TOMATOES;;
Serving size(442g);;
Amount per serving;;
Calories570;;
% Daily Value*;;
Total Fat 31g;40 %;
;Saturated Fat 3.5g;18 %
;Trans Fat 0g;
Cholesterol 10mg;3 %;
Sodium 1390mg;60 %;
Total Carbohydrate 61g;22 %;
;Dietary Fiber 7g;25 %
;Total Sugars 11g;
;Includes 0g Added Sugars;0 %
Protein 14g;;
Vitamin D 0mcg;0 %;
Calcium 226mg;15 %;
Iron 4mg;20 %;
Potassium 705mg;15 %;
BLACK BEAN FRITTERS;;
Serving size(678g);;
Amount per serving;;
Calories650;;
% Daily Value*;;
Total Fat 17g;225;
;Saturated Fat 1.5g;8 %
;Trans Fat 0g;
Cholesterol 0mg;0 %;
Sodium 580mg;25 %;
Total Carbohydrate 104g;38 %;
;Dietary Fiber 23g;82 %
;Total Sugars 17g;
;Includes 3g Added Sugars;6 %
Protein 23g;;
Vitamin D 0mcg;0 %;
Calcium 340mg;25 %;
Iron 6mg;35 %;
Potassium 1337mg;30 %;
CURRIED PORTOBELLOS & RICE;;
Serving size(561g);;
Amount per serving;;
Calories810;;
% Daily Value*;;
Total Fat 17g;22 %;
;Saturated Fat 4g;20 %
;Trans Fat 0g;
Cholesterol 0mg;0 %;
Sodium 930mg;40 %;
Total Carbohydrate 141g;51 %;
;Dietary Fiber 9g;32 %
;Total Sugars 22g;
;Includes 1g Added Sugars;2 %
Protein 28g;;
Vitamin D 0mcg;0 %;
Calcium 271mg;20 %;
Iron 8mg;45 %;
Potassium 1332mg;30 %;